witten_bell;2;93;76.37
witten_bell;3;107;75.58
witten_bell;4;133;76.22
witten_bell;5;163;76.32
absolute;2;92;76.37
absolute;3;108;75.67
absolute;4;132;76.19
absolute;5;162;76.15
katz;2;89;75.89
katz;3;105;74.11
katz;4;131;73.33
katz;5;161;63.52
kneser_ney;2;90;76.27
kneser_ney;3;106;75.67
kneser_ney;4;129;76.19
kneser_ney;5;160;76.16
presmoothed;2;90;76.27
presmoothed;3;107;67.95
presmoothed;4;130;67.01
presmoothed;5;162;66.89
unsmoothed;2;89;76.21
unsmoothed;3;106;75.52
unsmoothed;4;131;76.00
unsmoothed;5;162;76.05
